gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class,uuid,admission,staff_teacher,enquiry_course,enquiry_type,enquiry_month,qualification,college,name,Jan fee,Feb fee,Mar fee,Apr fee,May fee,Jun fee,jan_late,feb_late,mar_late,apr_late,may_late,jun_late,Average Fee Delay,Jul predicted date,10th_grade,12th_grade,graduation,first_eval_aptitude,first_eval_programming,first_eval_comm,first_eval,second_eval_aptitude,second_eval_programming,second_eval_comm,second_eval,third_eval_aptitude,third_eval_programming,third_eval_comm,third_eval,fourth_eval_aptitude,fourth_eval_programming,fourth_eval_comm,fourth_eval,total_eval_aptitude,total_eval_programming,total_eval_comm,total_eval,dropped
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Father,10,58,51,48,Yes,Good,Above-7,M,3f23c517-3b9d-438c-b534-d5cc3174ccb6,Admission,Bhawna Singh,Mean Stack,College,Mar-2020,Diploma in CSE,Chandigarh College of Architecture,Aravind,25-01-2020,14-02-2020,16-03-2020,11-04-2020,20-05-2020,06-06-2020,15,4,6,1,10,-4,5 days 00:00:00.000000000,15-07-2020,71.63,76.17,5.7,5.0,4.5,4.5,14.0,5.5,5.0,4.0,14.5,5.5,5.5,5.5,16.5,5.0,5.0,5.0,15.0,5.25,5.0,4.75,15.0,No
M,Palestine,Jordan,MiddleSchool,G-07,B,Biology,F,Father,78,80,66,51,Yes,Good,Under-7,M,3f70f7e3-75e7-45b9-92c1-570a6ca751b2,Enquiry,,Python,Social Media,Apr-2020,Diploma in ECE,Guru Gobind Singh College for Women,Minali,21-01-2020,12-02-2020,15-03-2020,25-04-2020,23-05-2020,21-06-2020,11,2,5,15,13,11,10 days 00:00:00.000000000,20-07-2020,87.92,74.77,9.5,4.0,5.0,5.0,14.0,5.0,5.5,5.0,15.5,5.5,4.5,5.5,15.5,4.5,4.5,5.0,14.0,4.75,4.875,5.125,14.75,No
M,Palestine,Jordan,lowerlevel,G-04,B,Science,F,Mum,95,57,74,89,Yes,Good,Above-7,M,3fa121fc-87f8-439d-b00b-37c1c21e2ab8,Enquiry,,Mean Stack,Phone,Apr-2020,B.Tech-CSE,"Chandigarh University, Gharuan",Mohini,09-01-2020,10-02-2020,20-03-2020,23-04-2020,14-05-2020,10-06-2020,-1,0,10,13,4,0,4 days 00:00:00.000000000,14-07-2020,75.51,83.49,9.5,5.0,4.5,5.0,14.5,5.0,4.5,5.0,14.5,5.5,4.5,4.0,14.0,5.0,5.5,4.5,15.0,5.125,4.75,4.625,14.5,No
F,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Mum,70,64,42,32,No,Bad,Under-7,M,3fb3e2b6-be6b-4842-8fc1-17c5e08843c7,Admission,Ashita,Android,Walk-in,Apr-2020,B.Tech-ECE,Indo Global Colleges,Kala,25-01-2020,18-02-2020,10-03-2020,13-04-2020,22-05-2020,07-06-2020,15,8,0,3,12,-3,6 days 00:00:00.000000000,16-07-2020,89.13,89.0,8.3,5.5,4.5,3.5,13.5,4.0,5.5,4.5,14.0,4.5,5.5,5.0,15.0,5.5,5.5,5.0,16.0,4.875,5.25,4.5,14.625,No
F,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,80,71,52,51,Yes,Good,Under-7,M,4028e2ad-c005-44ba-973d-5e80f76ddebd,Admission,Vandana,AIML,Social Media,Feb-2020,M.Tech-CSE,Bhaddal group of Institutes,Lata,15-01-2020,12-02-2020,16-03-2020,24-04-2020,12-05-2020,06-06-2020,5,2,6,14,2,-4,4 days 00:00:00.000000000,14-07-2020,89.13,82.38,7.1,5.0,4.0,3.5,12.5,4.5,5.5,4.0,14.0,4.5,5.5,4.5,14.5,5.0,5.0,5.5,15.5,4.75,5.0,4.375,14.125,No
M,KW,KuwaIT,MiddleSchool,G-07,A,Quran,S,Father,10,10,15,19,No,Bad,Above-7,L,4085869b-8c81-430a-8c3c-6a684326047a,Enquiry,,PHP,Email,Jan-2020,B.Tech-CSE,Bhaddal group of Institutes,Jayanta,09-01-2020,19-02-2020,21-03-2020,18-04-2020,15-05-2020,15-06-2020,-1,9,11,8,5,5,6 days 00:00:00.000000000,16-07-2020,74.17,79.78,9.7,5.0,4.5,4.5,14.0,4.0,5.5,4.0,13.5,4.0,4.0,5.0,13.0,5.0,5.5,5.5,16.0,4.5,4.875,4.75,14.125,No
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,75,72,64,39,Yes,Good,Above-7,L,40aa1967-ac75-454a-8516-b7de1c6b9196,Admission,Ashita,AIML,College,Mar-2020,Diploma in CSE,"Chandigarh University, Jhanjeri",Madhava,08-01-2020,08-02-2020,17-03-2020,22-04-2020,12-05-2020,16-06-2020,-2,-2,7,12,2,6,4 days 00:00:00.000000000,14-07-2020,77.08,74.07,9.8,4.5,5.0,5.5,15.0,4.5,5.0,5.0,14.5,4.5,4.5,5.0,14.0,4.5,5.0,4.5,14.0,4.5,4.875,5.0,14.375,No
M,KW,KuwaIT,HighSchool,G-11,B,Math,S,Mum,73,84,77,81,Yes,Good,Above-7,H,41a5f399-ad2a-4e20-9f94-cd176a7ec475,Enquiry,,Mean Stack,Phone,Jun-2020,M.Tech-CSE,Bhaddal group of Institutes,Kalinda,18-01-2020,11-02-2020,16-03-2020,26-04-2020,15-05-2020,15-06-2020,8,1,6,16,5,5,7 days 00:00:00.000000000,17-07-2020,68.24,85.29,7.3,4.0,5.0,5.0,14.0,5.5,5.0,5.0,15.5,4.5,4.0,5.0,13.5,5.5,5.5,5.5,16.5,4.875,4.875,5.125,14.875,No
M,Lybia,Lybia,lowerlevel,G-02,A,French,S,Mum,15,7,12,7,No,Good,Above-7,L,41e881dd-7fbe-4065-808f-6725bda2ae6a,Admission,Sandeep,Angular,Phone,May-2020,Diploma in IT,Guru Gobind Singh College for Women,Lata,07-01-2020,12-02-2020,18-03-2020,10-04-2020,12-05-2020,07-06-2020,-3,2,8,0,2,-3,1 days 00:00:00.000000000,11-07-2020,91.37,89.15,5.8,4.0,3.5,3.5,11.0,4.0,4.0,4.0,12.0,4.5,4.5,5.0,14.0,4.5,4.5,5.0,14.0,4.25,4.125,4.375,12.75,No
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Father,35,2,29,23,No,Bad,Under-7,M,438118f0-4a2e-41be-af35-03a0ab154a36,Admission,Ashita,Mean Stack,Walk-in,Jan-2020,Diploma in ECE,Post Graduate Government College for Girls,Kunal,08-01-2020,15-02-2020,19-03-2020,12-04-2020,16-05-2020,10-06-2020,-2,5,9,2,6,0,3 days 00:00:00.000000000,13-07-2020,71.15,70.66,6.4,3.5,5.5,3.5,12.5,5.5,4.5,4.0,14.0,4.5,5.0,5.5,15.0,5.0,5.0,5.0,15.0,4.625,5.0,4.5,14.125,No
F,KW,KuwaIT,MiddleSchool,G-08,B,Arabic,S,Father,22,51,42,40,Yes,Bad,Under-7,M,43a661ac-52b7-453d-9f13-735883edb38a,Enquiry,,Java,Email,Feb-2020,M.Tech-ECE,DAV College,Lata,06-01-2020,11-02-2020,19-03-2020,27-04-2020,14-05-2020,15-06-2020,-4,1,9,17,4,5,5 days 00:00:00.000000000,15-07-2020,71.21,75.87,7.2,4.0,4.0,5.0,13.0,5.0,5.0,4.5,14.5,4.5,4.5,5.0,14.0,4.5,4.5,5.5,14.5,4.5,4.5,5.0,14.0,No
M,lebanon,lebanon,MiddleSchool,G-08,C,Spanish,S,Father,77,69,41,13,Yes,Good,Under-7,M,43efd886-665d-4718-a0a6-2481c205b1a9,Admission,Ashita,Mean Stack,Social Media,May-2020,B.Tech-ECE,Government College for Girls,Aditi,08-01-2020,20-02-2020,07-03-2020,18-04-2020,20-05-2020,06-06-2020,-2,10,-3,8,10,-4,3 days 00:00:00.000000000,13-07-2020,71.81,79.93,5.8,3.5,4.5,5.0,13.0,5.5,5.0,5.5,16.0,4.0,5.5,4.5,14.0,5.5,5.5,5.0,16.0,4.625,5.125,5.0,14.75,No
F,SaudiArabia,SaudiArabia,MiddleSchool,G-07,B,Science,F,Father,50,90,37,70,Yes,Good,Under-7,M,44897043-d38c-401d-9e68-26b5204b251b,Admission,Sandeep,Android,College,Feb-2020,BCA,SVIET,Chandan,25-01-2020,20-02-2020,08-03-2020,26-04-2020,14-05-2020,12-06-2020,15,10,-2,16,4,2,8 days 00:00:00.000000000,18-07-2020,79.32,76.17,7.6,5.0,4.0,4.0,13.0,4.0,4.0,4.5,12.5,5.5,4.5,4.5,14.5,4.5,5.5,4.5,14.5,4.75,4.5,4.375,13.625,No
M,Iraq,Iraq,lowerlevel,G-04,A,Science,S,Father,62,64,72,84,Yes,Good,Above-7,M,452f06ee-834e-41bb-bb6d-f407d25c94ef,Enquiry,,Mean Stack,Phone,May-2020,B.Tech-ECE,Post Graduate Government College for Girls,Aravind,21-01-2020,10-02-2020,08-03-2020,15-04-2020,10-05-2020,11-06-2020,11,0,-2,5,0,1,2 days 00:00:00.000000000,12-07-2020,90.34,67.5,6.2,4.0,4.0,3.5,11.5,4.0,5.5,5.0,14.5,5.5,5.0,5.5,16.0,5.0,4.5,4.5,14.0,4.625,4.75,4.625,14.0,No
F,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,10,12,4,80,No,Bad,Under-7,M,45ad1d5b-512c-49b0-a110-9bcb13a776d5,Admission,Jaswinder,Digital,Email,Mar-2020,B.Tech-IT,"Chandigarh University, Jhanjeri",Nitya,16-01-2020,08-02-2020,26-03-2020,26-04-2020,21-05-2020,11-06-2020,6,-2,16,16,11,1,8 days 00:00:00.000000000,18-07-2020,71.69,86.69,10.0,3.5,4.5,3.5,11.5,4.5,4.5,4.5,13.5,4.5,4.5,4.0,13.0,4.5,5.0,5.5,15.0,4.25,4.625,4.375,13.25,No
F,Jordan,Palestine,lowerlevel,G-02,A,French,S,Mum,75,85,73,80,Yes,Good,Under-7,M,4601aee0-80d4-4502-8669-7b8a35435372,Enquiry,,Digital,Web Enquiry,Jun-2020,Diploma in ECE,Goswami Ganesh Dutta Sanatan Dharma College,Diti,21-01-2020,16-02-2020,21-03-2020,10-04-2020,18-05-2020,18-06-2020,11,6,11,0,8,8,7 days 00:00:00.000000000,17-07-2020,69.81,84.09,5.5,4.0,5.0,3.5,12.5,5.5,4.0,5.5,15.0,5.0,5.0,5.5,15.5,5.5,4.5,5.5,15.5,5.0,4.625,5.0,14.625,No
M,Jordan,Jordan,MiddleSchool,G-07,A,Quran,F,Mum,50,90,29,60,Yes,Good,Under-7,M,46b0b536-ebe3-4540-aa76-1fd7bcef16fa,Admission,Vaishali Thakur,Android,Web Enquiry,Jan-2020,Diploma in ECE,DAV College,Damayandi,16-01-2020,16-02-2020,21-03-2020,19-04-2020,18-05-2020,06-06-2020,6,6,11,9,8,-4,6 days 00:00:00.000000000,16-07-2020,80.65,68.46,9.2,4.0,4.0,4.0,12.0,4.5,4.5,5.5,14.5,5.0,5.0,5.0,15.0,4.5,5.0,5.5,15.0,4.5,4.625,5.0,14.125,No
M,Iraq,Iraq,MiddleSchool,G-08,A,Geology,F,Father,80,83,82,71,Yes,Good,Above-7,M,47440a70-4625-425a-8a64-2b80f590f55e,Admission,Bhawna Singh,Angular,Phone,Apr-2020,B.Tech-ECE,Indo Global Colleges,Kumari,13-01-2020,13-02-2020,16-03-2020,10-04-2020,18-05-2020,08-06-2020,3,3,6,0,8,-2,3 days 00:00:00.000000000,13-07-2020,68.36,81.53,5.6,5.5,4.5,5.5,15.5,5.0,5.0,4.5,14.5,5.5,4.5,4.0,14.0,5.0,5.0,5.0,15.0,5.25,4.75,4.75,14.75,No
F,Jordan,Jordan,lowerlevel,G-02,A,Arabic,F,Father,10,20,22,97,No,Bad,Above-7,L,47645b62-654e-43f1-a5d0-5169075f7a82,Admission,Prasenjit,Digital,Email,Jan-2020,B.Tech-IT,SVIET,Kumari,22-01-2020,14-02-2020,08-03-2020,17-04-2020,20-05-2020,16-06-2020,12,4,-2,7,10,6,6 days 00:00:00.000000000,16-07-2020,82.35,72.86,5.1,3.5,3.5,3.5,10.5,5.5,4.5,5.0,15.0,4.5,4.5,5.5,14.5,4.5,5.0,5.5,15.0,4.5,4.375,4.875,13.75,No
M,Palestine,Jordan,MiddleSchool,G-07,B,Biology,S,Father,79,72,79,83,Yes,Good,Under-7,M,478f7168-114f-429c-9488-12854cefa344,Admission,Ashita,Angular,College,Mar-2020,B.Tech-CSE,Rayat & Bahra University,Gautam,22-01-2020,09-02-2020,21-03-2020,16-04-2020,22-05-2020,22-06-2020,12,-1,11,6,12,12,9 days 00:00:00.000000000,19-07-2020,81.14,82.53,7.6,5.5,4.0,5.0,14.5,4.0,5.0,5.5,14.5,5.5,5.0,5.0,15.5,5.5,5.0,4.5,15.0,5.125,4.75,5.0,14.875,No
M,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Mum,70,50,40,99,Yes,Good,Under-7,H,482fc6e4-5a52-4c6b-80da-77ec0f5588ec,Admission,Sandeep,Java,Email,Jan-2020,M.Tech-ECE,IIT Ropar,Nanda,24-01-2020,19-02-2020,10-03-2020,19-04-2020,22-05-2020,06-06-2020,14,9,0,9,12,-4,7 days 00:00:00.000000000,17-07-2020,72.96,75.82,8.5,5.5,4.5,5.5,15.5,4.0,4.5,4.0,12.5,5.0,4.0,4.5,13.5,4.5,5.0,4.5,14.0,4.75,4.5,4.625,13.875,No
M,Iraq,Iraq,MiddleSchool,G-08,A,History,F,Father,72,87,72,89,Yes,Good,Above-7,M,48aa4a5a-da00-4ddf-9d61-67fcecb9c998,Admission,Sandeep,Java,Walk-in,Apr-2020,Diploma in ECE,Indo Global Colleges,Chandra,08-01-2020,18-02-2020,15-03-2020,25-04-2020,12-05-2020,11-06-2020,-2,8,5,15,2,1,5 days 00:00:00.000000000,15-07-2020,68.24,73.47,9.2,4.5,3.5,4.5,12.5,4.5,5.0,5.0,14.5,5.0,5.0,4.0,14.0,5.0,5.0,4.5,14.5,4.75,4.625,4.5,13.875,No
M,Palestine,Jordan,MiddleSchool,G-08,A,History,F,Father,81,86,86,41,Yes,Good,Under-7,M,48ea38ae-fb93-49b2-8eb8-cc08a0580146,Admission,Bhawna Singh,PHP,Web Enquiry,Mar-2020,MCA,Bhaddal group of Institutes,Kessavamohane,14-01-2020,09-02-2020,25-03-2020,20-04-2020,16-05-2020,12-06-2020,4,-1,15,10,6,2,6 days 00:00:00.000000000,16-07-2020,70.0,67.3,7.5,4.5,4.5,3.5,12.5,4.5,4.5,5.0,14.0,4.0,5.0,4.5,13.5,4.5,4.5,5.5,14.5,4.375,4.625,4.625,13.625,No
M,Jordan,Jordan,lowerlevel,G-02,A,French,S,Mum,50,90,83,13,Yes,Good,Under-7,H,49bce634-2ffb-4b75-8caf-7fb82143f279,Admission,Jaswinder,Android,Web Enquiry,Jan-2020,Diploma in CSE,Chandigarh College of Architecture,Kalyana,19-01-2020,08-02-2020,21-03-2020,13-04-2020,09-05-2020,08-06-2020,9,-2,11,3,-1,-2,3 days 00:00:00.000000000,13-07-2020,67.76,81.93,8.6,5.5,5.0,3.5,14.0,4.0,5.5,4.5,14.0,5.0,4.0,4.5,13.5,5.0,4.5,5.0,14.5,4.875,4.75,4.375,14.0,No
F,Jordan,Jordan,lowerlevel,G-04,B,Science,F,Mum,11,20,21,23,No,Bad,Under-7,M,49d20c00-bd68-466d-a6ac-51dd95410b8a,Admission,Vaishali Thakur,Digital,Social Media,Jun-2020,M.Tech-ECE,Post Graduate Government College,Maninder,14-01-2020,20-02-2020,10-03-2020,21-04-2020,20-05-2020,16-06-2020,4,10,0,11,10,6,7 days 00:00:00.000000000,17-07-2020,81.62,75.92,8.8,5.5,5.0,4.5,15.0,4.0,5.0,5.5,14.5,4.0,4.5,5.5,14.0,5.5,5.0,5.5,16.0,4.75,4.875,5.25,14.875,No
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,19,20,16,50,No,Good,Under-7,M,4a7e1fd5-c63b-44d6-bcb6-c7ea9dfa026a,Admission,Ashita,Mean Stack,Web Enquiry,May-2020,Diploma in CSE,Guru Gobind Singh College for Women,Ananta,12-01-2020,09-02-2020,14-03-2020,23-04-2020,12-05-2020,11-06-2020,2,-1,4,13,2,1,4 days 00:00:00.000000000,14-07-2020,86.16,68.66,9.2,5.5,3.5,4.0,13.0,4.0,5.5,4.5,14.0,4.0,5.0,4.0,13.0,4.5,5.5,4.5,14.5,4.5,4.875,4.25,13.625,No
M,KW,KuwaIT,HighSchool,G-09,A,IT,F,Father,10,12,7,33,Yes,Good,Above-7,L,4afc51fe-d538-4bf3-9de7-914bdc1437a5,Enquiry,,Digital,Social Media,Apr-2020,M.Tech-IT,Chandigarh College of Engineering and Technology,Kashi,14-01-2020,13-02-2020,19-03-2020,16-04-2020,11-05-2020,13-06-2020,4,3,9,6,1,3,4 days 00:00:00.000000000,14-07-2020,80.83,85.84,6.9,5.5,5.5,4.5,15.5,5.5,5.5,4.5,15.5,5.5,5.0,4.0,14.5,5.0,4.5,5.0,14.5,5.375,5.125,4.5,15.0,No
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,90,86,85,10,Yes,Good,Under-7,M,4cecaa59-480c-4d97-a219-6a96f0bd805c,Admission,Bhawna Singh,PHP,Phone,May-2020,Diploma in ECE,Chitkara University,Chandrakant,09-01-2020,08-02-2020,26-03-2020,27-04-2020,21-05-2020,07-06-2020,-1,-2,16,17,11,-3,6 days 00:00:00.000000000,16-07-2020,77.32,75.72,6.9,5.5,5.0,4.5,15.0,4.0,5.0,5.0,14.0,5.0,4.0,5.0,14.0,4.5,5.0,5.5,15.0,4.75,4.75,5.0,14.5,No
F,Palestine,Jordan,lowerlevel,G-02,B,French,F,Father,78,98,10,11,No,Good,Under-7,M,4df69bfa-88a9-4e96-a4ed-9aca1b683c3c,Enquiry,,PHP,Walk-in,Feb-2020,Diploma in IT,National Institute of Technical Teachers Training & Research,Nirav,09-01-2020,18-02-2020,09-03-2020,24-04-2020,16-05-2020,17-06-2020,-1,8,-1,14,6,7,6 days 00:00:00.000000000,16-07-2020,69.69,88.7,9.9,3.5,3.5,4.5,11.5,4.5,4.5,4.5,13.5,4.0,4.5,4.5,13.0,5.0,4.5,5.0,14.5,4.25,4.25,4.625,13.125,No
M,Palestine,Palestine,MiddleSchool,G-07,A,Biology,S,Father,89,92,89,83,Yes,Good,Under-7,H,4e70b267-d5b0-4db3-971b-ee800d6e769b,Enquiry,,Python,College,Feb-2020,M.Tech-CSE,Rayat & Bahra University,Damayanti,18-01-2020,17-02-2020,26-03-2020,20-04-2020,10-05-2020,20-06-2020,8,7,16,10,0,10,8 days 00:00:00.000000000,18-07-2020,91.19,85.14,8.6,5.0,5.0,5.0,15.0,5.5,5.5,4.0,15.0,4.5,4.5,4.0,13.0,5.0,4.5,4.5,14.0,5.0,4.875,4.375,14.25,No
M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Father,5,21,42,14,No,Good,Above-7,L,4e75c0dd-9da7-404f-9c7b-fe2535e41d23,Admission,Prasenjit,Android,Phone,Apr-2020,Diploma in CSE,Goswami Ganesh Dutta Sanatan Dharma College,Ambâ,13-01-2020,08-02-2020,16-03-2020,28-04-2020,17-05-2020,14-06-2020,3,-2,6,18,7,4,6 days 00:00:00.000000000,16-07-2020,91.37,87.7,9.8,3.5,3.5,5.5,12.5,4.5,4.0,5.0,13.5,5.5,4.0,5.0,14.5,4.5,4.5,5.5,14.5,4.5,4.0,5.25,13.75,No
F,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Mum,51,79,85,89,Yes,Good,Under-7,H,4e7ecfb9-ef53-4401-a7a4-24ba99d6a189,Enquiry,,Mean Stack,Phone,Mar-2020,M.Tech-IT,"Chandigarh University, Jhanjeri",Geeta,11-01-2020,08-02-2020,09-03-2020,19-04-2020,13-05-2020,18-06-2020,1,-2,-1,9,3,8,3 days 00:00:00.000000000,13-07-2020,68.66,67.0,5.4,5.0,5.0,4.5,14.5,4.5,5.5,5.0,15.0,4.0,4.0,5.0,13.0,4.5,4.5,5.0,14.0,4.5,4.75,4.875,14.125,No
F,Lybia,Lybia,MiddleSchool,G-07,B,Biology,S,Mum,9,7,9,3,No,Good,Above-7,L,4ec0077c-e433-4a72-bbc8-3de9977bd128,Admission,Vaishali Thakur,PHP,Email,Jan-2020,Diploma in ECE,Chitkara University,Archana,05-01-2020,09-02-2020,19-03-2020,17-04-2020,22-05-2020,06-06-2020,-5,-1,9,7,12,-4,3 days 00:00:00.000000000,13-07-2020,78.29,71.61,9.5,5.5,3.5,5.5,14.5,4.0,4.0,4.5,12.5,4.5,4.0,5.0,13.5,5.5,4.5,4.5,14.5,4.875,4.0,4.875,13.75,No
F,KW,KuwaIT,MiddleSchool,G-06,A,IT,F,Father,30,40,22,66,Yes,Good,Under-7,M,4f245e21-ba6b-4e83-af37-daa8233462b8,Admission,Prasenjit,Mean Stack,Web Enquiry,Jun-2020,M.Tech-ECE,Chitkara University,Nikhila,23-01-2020,11-02-2020,12-03-2020,27-04-2020,15-05-2020,21-06-2020,13,1,2,17,5,11,8 days 00:00:00.000000000,18-07-2020,69.81,66.6,6.8,4.0,4.5,3.5,12.0,4.0,5.5,4.0,13.5,5.0,4.0,4.5,13.5,5.0,5.0,5.0,15.0,4.5,4.75,4.25,13.5,No
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,50,10,15,22,Yes,Good,Under-7,M,4f68be48-a1df-4654-b36b-10ad0f0165f4,Admission,Sandeep,AIML,Web Enquiry,Jun-2020,MCA,Chitkara University,Godavari,24-01-2020,15-02-2020,20-03-2020,12-04-2020,11-05-2020,10-06-2020,14,5,10,2,1,0,5 days 00:00:00.000000000,15-07-2020,69.45,88.8,8.7,3.5,4.0,5.0,12.5,4.0,4.0,5.5,13.5,5.0,5.0,5.5,15.5,5.0,5.5,4.5,15.0,4.375,4.625,5.125,14.125,No
F,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Mum,72,74,82,89,No,Good,Under-7,H,4fd20028-99bf-415f-8aef-5ccdeece3c75,Admission,Bhawna Singh,Angular,Phone,Mar-2020,Diploma in CSE,SVIET,Murugan,05-01-2020,11-02-2020,11-03-2020,14-04-2020,18-05-2020,20-06-2020,-5,1,1,4,8,10,3 days 00:00:00.000000000,13-07-2020,78.71,87.29,8.8,3.5,5.5,5.0,14.0,5.5,5.5,5.5,16.5,4.0,5.0,5.5,14.5,5.0,5.0,5.5,15.5,4.5,5.25,5.375,15.125,No
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,3,12,4,33,No,Bad,Under-7,L,508c8407-b380-4427-b499-b9abb0b80e7b,Admission,Vaishali Thakur,Android,College,Jan-2020,M.Tech-IT,Post Graduate Government College,Jarita,20-01-2020,14-02-2020,12-03-2020,25-04-2020,16-05-2020,22-06-2020,10,4,2,15,6,12,8 days 00:00:00.000000000,18-07-2020,88.04,66.5,7.6,5.0,5.0,5.0,15.0,5.0,5.0,5.0,15.0,5.0,4.5,5.0,14.5,5.5,5.5,5.5,16.5,5.125,5.0,5.125,15.25,No
M,KW,KuwaIT,MiddleSchool,G-07,B,IT,S,Mum,70,92,83,85,Yes,Bad,Under-7,H,51a127f1-fb7b-4ade-a24c-9a66d17b80b4,Admission,Ashita,Java,Social Media,May-2020,MCA,Guru Gobind Singh College for Women,Madhur,17-01-2020,14-02-2020,14-03-2020,25-04-2020,09-05-2020,18-06-2020,7,4,4,15,-1,8,6 days 00:00:00.000000000,16-07-2020,84.16,85.94,5.5,5.5,4.0,4.5,14.0,4.5,4.5,5.0,14.0,5.5,5.0,4.5,15.0,5.5,5.0,4.5,15.0,5.25,4.625,4.625,14.5,No
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,29,22,9,20,Yes,Good,Under-7,M,521d9eec-e1a6-4d5a-9a0f-3346beaac739,Admission,Jaswinder,Java,Walk-in,Feb-2020,B.Tech-CSE,"Chandigarh University, Jhanjeri",Kariyamna,10-01-2020,14-02-2020,22-03-2020,20-04-2020,16-05-2020,06-06-2020,0,4,12,10,6,-4,5 days 00:00:00.000000000,15-07-2020,92.64,89.45,7.1,4.5,4.5,4.5,13.5,5.0,5.0,4.5,14.5,5.0,5.0,5.0,15.0,4.5,5.5,5.0,15.0,4.75,5.0,4.75,14.5,No
M,Palestine,Jordan,MiddleSchool,G-06,A,English,F,Mum,72,21,22,26,Yes,Good,Under-7,H,525183c4-5357-4327-ab2e-6bb1e36159c8,Enquiry,,Android,Phone,May-2020,Diploma in IT,"Chandigarh University, Gharuan",Buddha,15-01-2020,16-02-2020,07-03-2020,21-04-2020,18-05-2020,10-06-2020,5,6,-3,11,8,0,4 days 00:00:00.000000000,14-07-2020,92.58,74.82,9.6,4.0,5.0,4.5,13.5,5.5,4.5,5.0,15.0,5.5,5.5,4.5,15.5,5.0,5.0,5.5,15.5,5.0,5.0,4.875,14.875,No
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,70,90,2,2,Yes,Good,Under-7,L,5363896d-5f1b-4492-98e4-17de4cf0159a,Enquiry,,Digital,Email,May-2020,Diploma in CSE,Post Graduate Government College,Jayant,09-01-2020,09-02-2020,07-03-2020,25-04-2020,10-05-2020,17-06-2020,-1,-1,-3,15,0,7,3 days 00:00:00.000000000,13-07-2020,70.72,80.28,7.3,3.5,3.5,4.0,11.0,5.0,4.5,4.5,14.0,5.0,5.5,4.0,14.5,4.5,5.0,4.5,14.0,4.5,4.625,4.25,13.375,No
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,20,20,3,25,Yes,Good,Under-7,M,5389cdad-569c-4bd0-a25c-7221d05d012d,Admission,Bhawna Singh,Digital,Web Enquiry,Jan-2020,MCA,"Chandigarh University, Gharuan",Madhukar,23-01-2020,14-02-2020,09-03-2020,21-04-2020,14-05-2020,16-06-2020,13,4,-1,11,4,6,6 days 00:00:00.000000000,16-07-2020,93.37,69.61,6.5,4.5,5.0,4.0,13.5,5.0,5.0,5.5,15.5,4.0,5.0,4.5,13.5,5.0,5.0,5.5,15.5,4.625,5.0,4.875,14.5,No
M,SaudiArabia,USA,HighSchool,G-11,B,Spanish,S,Father,10,51,40,40,No,Bad,Above-7,L,53e680c2-0ae6-4e94-8584-681185a20778,Enquiry,,Angular,Walk-in,Feb-2020,BCA,Chandigarh College of Engineering and Technology,Indrajit,25-01-2020,11-02-2020,12-03-2020,23-04-2020,14-05-2020,18-06-2020,15,1,2,13,4,8,7 days 00:00:00.000000000,17-07-2020,85.8,87.29,8.0,5.0,5.0,4.5,14.5,5.5,5.0,4.0,14.5,4.0,5.5,5.5,15.0,4.5,4.5,5.0,14.0,4.75,5.0,4.75,14.5,No
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,50,90,40,90,Yes,Bad,Under-7,M,541ac752-16a0-49d9-9faf-601df1ea4418,Admission,Ashita,Angular,Phone,May-2020,M.Tech-CSE,SVIET,Mayur,08-01-2020,14-02-2020,08-03-2020,23-04-2020,10-05-2020,21-06-2020,-2,4,-2,13,0,11,4 days 00:00:00.000000000,14-07-2020,72.36,84.79,9.1,3.5,5.5,4.5,13.5,5.5,5.5,4.5,15.5,4.5,4.5,5.5,14.5,5.0,4.5,5.0,14.5,4.625,5.0,4.875,14.5,No
